conv_layer_1;conv_layer_2;dense_layer_1;dense_layer_2;drop_out_1;drop_out_2;id_simu
16;32;16;16;0.4;0.2;152
16;32;16;16;0.4;0.3;153
16;32;16;16;0.4;0.4;154
16;32;16;16;0.4;0.5;155
16;32;16;16;0.5;0.2;156
16;32;16;16;0.5;0.3;157
16;32;16;16;0.5;0.4;158
16;32;16;16;0.5;0.5;159
16;32;16;32;0.2;0.2;160
16;32;16;32;0.2;0.3;161
16;32;16;32;0.2;0.4;162
16;32;16;32;0.2;0.5;163
16;32;16;32;0.3;0.2;164
16;32;16;32;0.3;0.3;165
16;32;16;32;0.3;0.4;166
16;32;16;32;0.3;0.5;167
16;32;16;32;0.4;0.2;168
16;32;16;32;0.4;0.3;169
16;32;16;32;0.4;0.4;170
16;32;16;32;0.4;0.5;171
16;32;16;32;0.5;0.2;172
16;32;16;32;0.5;0.3;173
16;32;16;32;0.5;0.4;174
16;32;16;32;0.5;0.5;175
16;32;16;64;0.2;0.2;176
16;32;16;64;0.2;0.3;177
16;32;16;64;0.2;0.4;178
16;32;16;64;0.2;0.5;179
16;32;16;64;0.3;0.2;180
16;32;16;64;0.3;0.3;181
16;32;16;64;0.3;0.4;182
16;32;16;64;0.3;0.5;183
16;32;16;64;0.4;0.2;184
16;32;16;64;0.4;0.3;185
16;32;16;64;0.4;0.4;186
16;32;16;64;0.4;0.5;187
16;32;16;64;0.5;0.2;188
16;32;16;64;0.5;0.3;189
16;32;16;64;0.5;0.4;190
16;32;16;64;0.5;0.5;191
16;32;32;16;0.2;0.2;192
16;32;32;16;0.2;0.3;193
16;32;32;16;0.2;0.4;194
16;32;32;16;0.2;0.5;195
16;32;32;16;0.3;0.2;196
16;32;32;16;0.3;0.3;197
16;32;32;16;0.3;0.4;198
16;32;32;16;0.3;0.5;199
16;32;32;16;0.4;0.2;200
16;32;32;16;0.4;0.3;201
16;32;32;16;0.4;0.4;202
16;32;32;16;0.4;0.5;203
16;32;32;16;0.5;0.2;204
16;32;32;16;0.5;0.3;205
16;32;32;16;0.5;0.4;206
16;32;32;16;0.5;0.5;207
16;32;32;32;0.2;0.2;208
16;32;32;32;0.2;0.3;209
16;32;32;32;0.2;0.4;210
16;32;32;32;0.2;0.5;211
16;32;32;32;0.3;0.2;212
16;32;32;32;0.3;0.3;213
